,Date,Open,High,Low,Close,Adj Close,Volume,Daily Return,50-Day MA,50-Day Volatility
0,1980-12-12,0.128348,0.128906,0.128348,0.128348,0.099319,469033600,,,
1,1980-12-15,0.12221,0.12221,0.121652,0.121652,0.094137,175884800,-0.052170661015364383,,
2,1980-12-16,0.113281,0.113281,0.112723,0.112723,0.087228,105728000,-0.07339788906059908,,
3,1980-12-17,0.115513,0.116071,0.115513,0.115513,0.089387,86441600,0.024750938140397194,,
4,1980-12-18,0.118862,0.11942,0.118862,0.118862,0.091978,73449600,0.028992407780942253,,
5,1980-12-19,0.126116,0.126674,0.126116,0.126116,0.097591,48630400,0.061028756036412,,
6,1980-12-22,0.132254,0.132813,0.132254,0.132254,0.102341,37363200,0.048669478892448215,,
7,1980-12-23,0.137835,0.138393,0.137835,0.137835,0.10666,46950400,0.04219910172849217,,
8,1980-12-24,0.145089,0.145647,0.145089,0.145089,0.112273,48003200,0.05262814234410684,,
9,1980-12-26,0.158482,0.15904,0.158482,0.158482,0.122637,55574400,0.09230885870052186,,
10,1980-12-29,0.160714,0.161272,0.160714,0.160714,0.124364,93161600,0.014083618328895264,,
11,1980-12-30,0.157366,0.157366,0.156808,0.156808,0.121342,68880000,-0.02430404320718793,,
12,1980-12-31,0.152902,0.152902,0.152344,0.152344,0.117887,35750400,-0.02846793530942293,,
13,1981-01-02,0.154018,0.155134,0.154018,0.154018,0.119183,21660800,0.010988289660242456,,
14,1981-01-05,0.151228,0.151228,0.15067,0.15067,0.116592,35728000,-0.021737718967912767,,
15,1981-01-06,0.144531,0.144531,0.143973,0.143973,0.11141,45158400,-0.0444481316785027,,
16,1981-01-07,0.138393,0.138393,0.137835,0.137835,0.10666,55686400,-0.04263299368631601,,
17,1981-01-08,0.135603,0.135603,0.135045,0.135045,0.104501,39827200,-0.020241593209272102,,
18,1981-01-09,0.142299,0.142857,0.142299,0.142299,0.110114,21504000,0.053715428190603154,,
19,1981-01-12,0.142299,0.142299,0.141183,0.141183,0.109251,23699200,-0.007842641199165223,,
20,1981-01-13,0.136719,0.136719,0.136161,0.136161,0.105365,23049600,-0.035570854847963296,,
21,1981-01-14,0.136719,0.137277,0.136719,0.136719,0.105796,14291200,0.004098089761385371,,
22,1981-01-15,0.139509,0.140625,0.139509,0.139509,0.107955,14067200,0.020406819827529343,,
23,1981-01-16,0.138951,0.138951,0.138393,0.138393,0.107092,13395200,-0.007999483904264304,,
24,1981-01-19,0.146763,0.147321,0.146763,0.146763,0.113569,41574400,0.06047993756909675,,
25,1981-01-20,0.142857,0.142857,0.142299,0.142299,0.110114,30083200,-0.030416385601275464,,
26,1981-01-21,0.145089,0.146205,0.145089,0.145089,0.112273,15904000,0.019606602997912725,,
27,1981-01-22,0.146763,0.147879,0.146763,0.146763,0.113569,35548800,0.011537745797407073,,
28,1981-01-23,0.146763,0.147321,0.146205,0.146205,0.113137,11222400,-0.0038020482001595024,,
29,1981-01-26,0.144531,0.144531,0.143973,0.143973,0.11141,24640000,-0.015266235764850755,,
30,1981-01-27,0.143973,0.143973,0.142857,0.142857,0.110546,23699200,-0.0077514533975119315,,
31,1981-01-28,0.138951,0.138951,0.138393,0.138393,0.107092,28156800,-0.031248031248031438,,
32,1981-01-29,0.133929,0.133929,0.133371,0.133371,0.103206,43904000,-0.03628796254145805,,
33,1981-01-30,0.127232,0.127232,0.126116,0.126116,0.097591,46188800,-0.05439713280998104,,
34,1981-02-02,0.11942,0.11942,0.118862,0.118862,0.091978,23766400,-0.05751847505471164,,
35,1981-02-03,0.123326,0.123884,0.123326,0.123326,0.095433,19152000,0.03755615756086894,,
36,1981-02-04,0.12779,0.128348,0.12779,0.12779,0.098887,27865600,0.036196746833595306,,
37,1981-02-05,0.12779,0.128906,0.12779,0.12779,0.098887,7929600,0.0,,
38,1981-02-06,0.128348,0.128906,0.128348,0.128348,0.099319,13865600,0.004366538852805357,,
39,1981-02-09,0.122768,0.122768,0.121652,0.121652,0.094137,16755200,-0.052170661015364383,,
40,1981-02-10,0.121652,0.12221,0.121652,0.121652,0.094137,18345600,0.0,,
41,1981-02-11,0.118304,0.118304,0.117746,0.117746,0.091115,13843200,-0.03210798014007166,,
42,1981-02-12,0.117188,0.117188,0.116629,0.116629,0.09025,14560000,-0.009486521835136763,,
43,1981-02-13,0.114955,0.114955,0.113839,0.113839,0.088091,11155200,-0.023922009105797004,,
44,1981-02-17,0.116629,0.117188,0.116629,0.116629,0.09025,12275200,0.02450829680513711,,
45,1981-02-18,0.121652,0.122768,0.121652,0.121652,0.094137,19241600,0.04306819058724676,,
46,1981-02-19,0.114955,0.114955,0.114397,0.114397,0.088523,22310400,-0.05963732614342554,,
47,1981-02-20,0.108817,0.108817,0.108259,0.108259,0.083773,24371200,-0.053655253197199215,,
48,1981-02-23,0.109933,0.110491,0.109933,0.109933,0.085069,14112000,0.015462917632714124,,
49,1981-02-24,0.107143,0.107143,0.106027,0.106027,0.082046,16979200,-0.0355307323551618,0.1325781,
50,1981-02-25,0.112723,0.113281,0.112723,0.112723,0.087228,19488000,0.06315372499457683,0.13226559999999998,0.03916637996747362
51,1981-02-26,0.114397,0.114955,0.114397,0.114397,0.088523,10841600,0.01485056288423836,0.1321205,0.03855088706567525
52,1981-02-27,0.118304,0.11942,0.118304,0.118304,0.091546,14761600,0.03415299352255752,0.13223212,0.037383437850671296
53,1981-03-02,0.118862,0.11942,0.118862,0.118862,0.091978,11760000,0.004716662158506857,0.1322991,0.037237836444655135
54,1981-03-03,0.117746,0.117746,0.117188,0.117188,0.090683,16172800,-0.01408355908532577,0.13226562,0.03708078442027961
55,1981-03-04,0.116629,0.116629,0.116071,0.116071,0.089818,13708800,-0.009531692664778046,0.13206472000000002,0.0360542002810093
56,1981-03-05,0.116071,0.116071,0.115513,0.115513,0.089387,5376000,-0.004807402365793245,0.1317299,0.03533594369721728
57,1981-03-06,0.115513,0.115513,0.114397,0.114397,0.088523,11603200,-0.009661250248889752,0.13126114,0.03476575952921236
58,1981-03-09,0.106027,0.106027,0.105469,0.105469,0.081614,15321600,-0.07804400465047168,0.13046874,0.035394320785688216
59,1981-03-10,0.101004,0.101004,0.100446,0.100446,0.077727,28380800,-0.04762536859171884,0.12930802,0.03292928696848735
60,1981-03-11,0.097656,0.097656,0.09654,0.09654,0.074705,29859200,-0.03888656591601447,0.12802454,0.03303832150106391
61,1981-03-12,0.100446,0.101004,0.100446,0.100446,0.077727,59248000,0.0404599129894343,0.1268973,0.033712913521812174
62,1981-03-13,0.099888,0.099888,0.09933,0.09933,0.076864,231302400,-0.011110447404575563,0.12583702,0.033590240560301805
63,1981-03-16,0.103237,0.104353,0.103237,0.103237,0.079887,37228800,0.039333534682371774,0.1248214,0.03415110170969005
64,1981-03-17,0.108259,0.109375,0.108259,0.108259,0.083773,43747200,0.04864535001985715,0.12397318,0.03498813919476415
65,1981-03-18,0.114955,0.116071,0.114955,0.114955,0.088955,36937600,0.06185167053085672,0.12339282000000001,0.03582304423371424
66,1981-03-19,0.114397,0.114397,0.113839,0.113839,0.088091,37811200,-0.00970814666608677,0.1229129,0.03539586597405872
67,1981-03-20,0.114955,0.116071,0.114955,0.114955,0.088955,14604800,0.009803318722054977,0.12251110000000001,0.03535571073523807
68,1981-03-23,0.11942,0.120536,0.11942,0.11942,0.09241,22019200,0.038841285720499386,0.12205352,0.0349322250929731
69,1981-03-24,0.11942,0.11942,0.118862,0.118862,0.091978,28156800,-0.004672584156757642,0.1216071,0.034925946449986894
